SanctionsDobId|Ent_Id|DOB

1|1234|5678
82|71441|1965
83|71441|1968
84|71441|January 01, 1971
85|71441|1964
86|71441|1967
87|71441|1962
120|104503|1962
121|104503|1963
122|104503|1964
123|104503|1965
124|104503|1966
125|104503|1967
235|202943|1953
247|203007|1956
273|203225|December 18, 1969
274|203225|May 25, 1968
275|203225|December 18, 1968
276|203225|September 19, 1997
277|203246|1939
278|203246|1942
280|203246|1940
281|203246|1943
283|203246|1945
3459|203246|1941
3460|203246|1944
284|203252|January 25, 1970
285|203258|January 15, 1973
286|203270|October 21, 1977
289|203683|December 31, 1979
290|203683|September 28, 1973
291|203683|August 26, 1973
292|203683|September 25, 1973
293|203683|June 10, 1982
294|203714|1962
295|203714|1963
296|203714|1964
297|203714|1965
298|203714|1966
299|203714|1967
300|203773|June 02, 1972
301|203773|February 04, 1965
302|203773|April 01, 1966
303|203773|May 20, 1969
304|203773|February 02, 1963
305|203773|February 09, 1964
306|203773|June 02, 1964
307|203773|September 02, 1964
308|203773|April 02, 1966
309|203773|1972
310|203773|February 09, 1965
311|203773|March 02, 1965
442|1528532|May 09, 1966
443|1534646|May 02, 1975
444|1534646|July 03, 1975
445|1534646|July 02, 1975
3461|1660445|1961
469|1661210|1943
512|1825171|1953
515|1825234|1963
588|1830713|1962
589|1830713|1963
590|1830713|1964
591|1830713|1965
592|1830713|1966
593|1830713|1967
671|2081949|April 13, 1954
672|2081949|April 13, 1964
673|2081949|May 12, 1964
744|2594993|January 05, 1974
745|2594993|1977
746|2595125|September,1977
747|2595125|August,1977
3032|2667748|1963
3033|2667748|1964
3034|2667748|1965
3035|2667748|1967
3036|2667748|1968
836|3198406|1953
3394|3634280|1969
932|3634280|1971
3127|3743737|1979
3128|3743737|1980
3129|3743737|1981
3130|3743737|1982
1038|3866773|1977
1039|3866773|1978
1040|3866773|1979
1041|3866773|1980
1487|5803898|1974
1655|7169837|1963
1656|7169837|1964
1657|7169837|1965
1658|7169837|1966
1659|7169837|1967
1660|7169837|1968
1836|7236752|1963
1837|7236752|1964
1838|7236752|1965
1839|7236752|1966
1840|7236752|1967
1841|7236752|1968
2800|7254944|1963
2801|7254944|1964
2802|7254944|1965
2803|7254944|1966
2804|7254944|1967
2805|7254944|1968
2259|7372568|1967
2333|7546865|1963
2334|7546865|1964
2335|7546865|1965
2336|7546865|1966
2337|7546865|1967
2338|7546865|1968
2516|7577238|1963
2517|7577238|1964
2518|7577238|1965
2519|7577238|1966
2520|7577238|1967
2521|7577238|1968
2572|7578072|1956
2598|7586054|1963
2599|7586054|1964
2600|7586054|1965
2601|7586054|1966
2602|7586054|1967
2603|7586054|1968
2643|8178347|1953
